match, pattern length, text length, yao gate count, time
1,1,8192,26463069,11.218935
1,2,8192,49098407,17.547319
1,4,8192,93141927,29.464218
1,8,8192,103474839,35.518375
1,16,8192,169806418,54.114391
1,32,8192,281146357,86.611352
1,64,8192,474221756,142.644258

